file,word,n
09-29-20,president,459
09-29-20,donald,316
09-29-20,people,159
12-20-19,people,156
10-22-20,president,138
06-27-20,president,122
12-20-19,president,121
02-20-20,people,110
03-16-20,people,108
09-29-20,it’s,103
10-22-20,we’re,102
06-27-20,american,100
02-20-20,senator,98
01-15-20,people,95
12-20-19,senator,94
10-22-20,people,90
06-27-20,asian,89
01-15-20,president,88
10-22-20,it’s,87
05-20-20,people,86
01-07-21,justice,83
01-15-20,senator,82
03-16-20,president,80
06-27-20,trump,78
12-20-19,it’s,77
02-17-21,people,74
09-29-20,i’m,73
12-20-19,that’s,73
05-20-20,it’s,71
07-22-20,i’m,71
06-11-20,people,70
10-15-20,president,70
02-20-20,i’m,69
02-20-20,that’s,69
06-27-20,i’m,69
06-27-20,community,68
12-02-20,it’s,67
09-03-20,people,66
02-20-20,president,65
06-30-20,president,64
12-02-20,people,64
12-20-19,country,64
02-20-20,mayor,63
06-27-20,pacific,63
10-22-20,that’s,63
01-08-21,people,62
01-15-20,it’s,62
07-22-20,people,62
09-15-20,people,62
09-29-20,don’t,62
12-20-19,we’re,62
01-15-20,we’re,61
07-22-20,it’s,61
09-15-20,military,60
10-22-20,don’t,60
10-31-20,president,60
06-27-20,americans,59
06-27-20,people,59
09-15-20,it’s,59
10-15-20,people,59
10-22-20,vice,59
03-10-20,joe,58
03-16-20,crisis,58
06-27-20,it’s,58
01-15-20,that’s,57
02-22-20,people,57
03-16-20,it’s,57
12-20-19,i’m,57
02-17-21,it’s,56
02-20-20,it’s,56
03-16-20,we’re,56
07-28-20,it’s,56
01-15-20,trump,55
03-25-21,people,55
04-09-20,they’re,55
09-29-20,that’s,55
04-28-21,american,54
05-20-20,rural,54
03-25-21,we’re,53
09-29-20,crosstalk,53
12-20-19,america,53
01-07-21,department,52
03-16-20,that’s,52
01-08-21,president,51
06-11-20,don’t,51
09-29-20,sir,51
03-16-20,i’m,50
04-09-20,people,50
09-15-20,i’m,50
10-15-20,it’s,50
06-27-20,guam,49
11-18-20,we’re,49
02-22-20,country,48
02-23-21,we’re,48
05-14-20,we’re,48
12-20-19,american,48
01-04-21,georgia,47
03-16-20,senator,47
04-28-21,america,47
05-20-20,we’re,47
09-15-20,president,47
09-29-20,he’s,47
10-22-20,you’re,47
02-20-20,00,46
02-23-21,people,46
03-16-20,country,46
07-22-20,care,46
09-15-20,veterans,46
09-15-20,you’re,46
09-23-20,people,46
09-29-20,vice,46
09-29-20,we’re,46
02-20-20,don’t,45
06-30-20,it’s,45
09-04-20,president,45
09-09-20,american,45
09-23-20,it’s,45
10-15-20,i’m,45
10-22-20,i’m,45
10-22-20,they’re,45
12-23-20,education,45
02-17-21,you’re,44
02-20-20,country,44
04-28-21,jobs,44
09-03-20,we’re,44
09-29-20,00,44
10-22-20,he’s,44
01-07-21,law,43
03-16-20,don’t,43
05-20-20,that’s,43
07-28-20,people,43
09-03-20,i’m,43
10-22-20,china,43
11-24-20,president,43
12-01-20,president,43
01-08-21,businesses,42
01-15-20,war,42
02-20-20,trump,42
03-10-20,biden,42
03-10-20,folks,42
03-16-20,joe,42
03-16-20,vice,42
05-20-20,lot,42
06-11-20,it’s,42
12-08-20,president,42
12-20-19,trump,42
01-15-20,don’t,41
02-17-21,don’t,41
03-25-21,it’s,41
04-28-21,we’re,41
05-14-20,00,41
05-14-20,people,41
07-29-20,it’s,41
09-04-20,it’s,41
09-29-20,question,41
10-15-20,you’re,41
10-22-20,biden,41
11-18-20,i’m,41
12-04-20,people,41
12-20-19,don’t,41
02-20-20,bloomberg,40
03-16-20,time,40
03-25-21,i’m,40
04-28-21,it’s,40
06-27-20,administration,40
06-27-20,that’s,40
09-03-20,don’t,40
10-15-20,we’re,40
10-22-20,money,40
10-22-20,trump,40
12-19-20,climate,40
12-20-19,united,40
01-15-20,healthcare,39
02-17-21,i’m,39
02-22-20,we’re,39
03-10-20,people,39
05-14-20,it’s,39
05-14-20,we’ve,39
06-27-20,aapi,39
08-06-20,latino,39
09-04-20,people,39
09-15-20,that’s,39
11-18-20,it’s,39
12-20-19,americans,39
12-20-19,question,39
12-20-19,time,39
01-15-20,country,38
01-16-21,we’re,38
03-31-21,american,38
09-15-20,don’t,38
09-29-20,election,38
10-22-20,question,38
10-30-20,people,38
11-19-20,it’s,38
01-08-21,jobs,37
01-15-20,troops,37
02-20-20,time,37
02-20-20,we’re,37
02-23-21,it’s,37
03-16-20,you’re,37
05-20-20,president,37
06-11-20,businesses,37
07-22-20,president,37
07-22-20,workers,37
12-08-20,health,37
12-08-20,team,37
01-15-20,american,36
01-15-20,climate,36
03-10-20,president,36
03-25-21,that’s,36
04-13-20,people,36
04-14-21,afghanistan,36
04-28-21,people,36
05-07-20,people,36
05-20-20,don’t,36
06-11-20,i’m,36
06-27-20,vote,36
07-28-20,i’m,36
09-03-20,community,36
09-18-20,people,36
09-23-20,that’s,36
09-29-20,they’re,36
10-22-20,country,36
10-22-20,move,36
10-22-20,talk,36
10-31-20,that’s,36
12-01-20,people,36
12-20-19,stage,36
01-04-21,people,35
01-07-21,people,35
01-07-21,president,35
01-15-20,trade,35
01-15-20,warren,35
01-25-21,american,35
05-20-20,community,35
05-20-20,health,35
06-11-20,business,35
07-09-20,it’s,35
07-22-20,home,35
07-22-20,that’s,35
09-29-20,you’re,35
12-02-20,that’s,35
12-22-20,it’s,35
01-08-21,it’s,34
01-15-20,i’m,34
02-17-21,president,34
03-16-20,bill,34
03-16-20,healthcare,34
03-16-20,voted,34
03-16-20,world,34
04-09-20,that’s,34
05-20-20,farmers,34
05-20-20,they’re,34
07-22-20,we’re,34
08-17-20,people,34
09-23-20,i’m,34
09-29-20,trump,34
10-15-20,that’s,34
10-22-20,didn’t,34
10-22-20,time,34
11-16-20,it’s,34
12-02-20,lot,34
12-08-20,i’m,34
01-15-20,donald,33
02-20-20,crosstalk,33
02-20-20,plan,33
03-16-20,deal,33
03-16-20,sanders,33
03-25-21,president,33
05-14-20,inaudible,33
05-20-20,businesses,33
05-27-20,people,33
06-11-20,that’s,33
06-11-20,we’re,33
06-27-20,country,33
07-03-20,president,33
07-28-20,president,33
09-07-20,workers,33
09-18-20,it’s,33
11-18-20,people,33
01-04-21,vote,32
01-08-21,american,32
05-20-20,i’m,32
05-20-20,there’s,32
06-11-20,they’re,32
06-27-20,america,32
06-27-20,time,32
09-02-20,president,32
12-08-20,elect,32
12-20-19,i’ve,32
12-20-19,mayor,32
12-20-19,you’re,32
02-20-20,donald,31
02-20-20,sanders,31
03-25-20,people,31
03-31-21,plan,31
05-20-20,business,31
06-11-20,president,31
06-27-20,communities,31
07-29-20,i’m,31
09-03-20,that’s,31
09-07-20,it’s,31
09-07-20,people,31
09-07-20,president,31
09-23-20,president,31
10-15-20,there’s,31
10-22-20,joe,31
10-27-20,joe,31
10-31-20,joe,31
10-31-20,we’re,31
11-02-20,president,31
11-07-20,america,31
11-20-20,elect,31
11-20-20,president,31
12-04-20,it’s,31
12-11-20,president,31
12-19-20,communities,31
12-19-20,environmental,31
12-20-19,sanders,31
12-20-19,world,31
01-08-21,workers,30
01-15-20,america,30
01-15-20,deal,30
01-15-20,time,30
01-15-20,world,30
01-25-21,we’re,30
01-27-21,climate,30
02-20-20,money,30
02-20-20,tax,30
03-16-20,america,30
04-07-20,workers,30
04-09-20,it’s,30
07-03-20,i’m,30
07-03-20,it’s,30
09-03-20,it’s,30
09-03-20,lot,30
09-15-20,they’re,30
09-18-20,president,30
09-29-20,deal,30
09-29-20,joe,30
10-03-20,it’s,30
10-08-20,president,30
10-11-20,we’re,30
10-13-20,seniors,30
10-15-20,don’t,30
10-15-20,time,30
10-30-20,vote,30
11-24-20,elect,30
12-01-20,american,30
12-01-20,elect,30
12-19-20,president,30
12-20-19,change,30
01-04-21,america,29
01-08-21,elect,29
01-15-20,i’ve,29
02-22-20,american,29
03-10-20,it’s,29
03-25-21,time,29
04-09-20,you’re,29
04-28-21,americans,29
04-28-21,world,29
06-27-20,islanders,29
06-30-20,i’m,29
07-28-20,that’s,29
07-29-20,latino,29
08-06-20,it’s,29
09-15-20,health,29
09-29-20,million,29
10-27-20,president,29
10-31-20,people,29
11-18-20,nurses,29
12-01-20,economic,29
12-02-20,don’t,29
12-02-20,we’re,29
12-08-20,covid,29
12-08-20,people,29
12-19-20,energy,29
12-22-20,we’re,29
01-15-20,money,28
01-15-20,plan,28
01-15-20,we’ve,28
02-23-21,don’t,28
03-10-20,we’re,28
03-31-21,it’s,28
04-13-20,it’s,28
04-28-21,plan,28
05-07-20,i’m,28
05-07-20,president,28
05-14-20,i’m,28
05-20-20,wisconsin,28
06-27-20,lot,28
06-30-20,don’t,28
08-06-20,naleo,28
08-21-20,president,28
09-15-20,mental,28
09-29-20,ballots,28
09-29-20,country,28
10-13-20,trump,28
10-27-20,people,28
11-02-20,trump,28
11-19-20,governors,28
12-01-20,economy,28
12-01-20,team,28
12-20-19,day,28
12-20-19,economy,28
01-04-21,it’s,27
01-07-21,attorney,27
01-15-20,bring,27
01-25-21,i’m,27
02-19-21,united,27
02-23-21,that’s,27
03-03-20,people,27
03-10-20,america,27
03-10-20,i’m,27
03-16-20,biden,27
03-16-20,idea,27
03-16-20,talking,27
06-11-20,money,27
06-11-20,you’re,27
07-22-20,day,27
07-22-20,union,27
08-17-20,00,27
09-15-20,va,27
09-23-20,money,27
09-29-20,biden,27
09-29-20,didn’t,27
10-25-20,president,27
10-31-20,it’s,27
11-10-20,president,27
11-16-20,president,27
11-24-20,america,27
11-24-20,security,27
12-08-20,pandemic,27
12-19-20,elect,27
01-04-21,i’m,26
01-04-21,that’s,26
02-17-21,that’s,26
02-17-21,time,26
02-20-20,talk,26
02-20-20,you’re,26
02-22-20,win,26
02-23-21,i’m,26
02-27-21,we’re,26
03-10-20,detroit,26
03-10-20,michigan,26
03-16-20,change,26
04-29-21,america,26
05-20-20,program,26
06-02-20,it’s,26
06-11-20,government,26
07-09-20,america,26
08-21-20,america,26
09-02-20,i’m,26
09-04-20,job,26
09-09-20,jobs,26
09-29-20,lot,26
10-21-20,people,26
10-22-20,million,26
11-02-20,it’s,26
12-18-20,president,26
12-22-20,people,26
01-08-21,business,25
01-15-20,iran,25
01-15-20,sanders,25
01-25-21,it’s,25
02-20-20,american,25
02-20-20,let’s,25
02-22-20,trump,25
02-23-21,you’re,25
03-03-20,it’s,25
03-10-20,that’s,25
03-16-20,china,25
03-16-20,pay,25
03-25-21,country,25
03-31-21,jobs,25
04-06-21,we’re,25
04-09-20,i’m,25
04-09-20,president,25
04-09-20,workers,25
05-01-20,i’m,25
05-07-20,it’s,25
05-14-20,they’re,25
06-11-20,federal,25
06-11-20,paid,25
06-27-20,governor,25
07-22-20,time,25
07-22-20,you’re,25
07-28-20,plan,25
08-06-20,we’re,25
08-12-20,kamala,25
09-15-20,community,25
09-15-20,lot,25
09-15-20,there’s,25
09-15-20,we’re,25
09-23-20,we’re,25
09-26-20,president,25
09-29-20,we’ve,25
10-08-20,it’s,25
10-13-20,he’s,25
10-15-20,trump,25
10-22-20,lot,25
10-22-20,plan,25
10-22-20,response,25
10-22-20,talking,25
11-18-20,care,25
11-18-20,that’s,25
12-19-20,jobs,25
12-20-19,biden,25
12-20-19,climate,25
12-20-19,warren,25
01-08-21,country,24
01-08-21,economic,24
01-08-21,economy,24
01-08-21,they’re,24
01-15-20,americans,24
01-15-20,iowa,24
01-15-20,united,24
01-22-21,plan,24
01-25-21,people,24
02-20-20,i’ve,24
02-23-21,president,24
03-10-20,country,24
03-25-20,it’s,24
04-06-21,people,24
06-11-20,there’s,24
06-27-20,we’re,24
06-30-20,people,24
07-22-20,don’t,24
07-22-20,lot,24
07-29-20,president,24
09-03-20,god,24
09-07-20,country,24
09-29-20,plan,24
09-29-20,talking,24
09-29-20,true,24
09-29-20,vote,24
10-12-20,it’s,24
10-13-20,it’s,24
10-27-20,it’s,24
10-27-20,that’s,24
10-29-20,we’re,24
11-02-20,we’re,24
11-10-20,people,24
11-16-20,people,24
11-18-20,you’re,24
11-24-20,world,24
12-02-20,covid,24
12-02-20,health,24
12-08-20,dr,24
12-11-20,elect,24
12-19-20,american,24
12-19-20,clean,24
12-20-19,bring,24
12-20-19,million,24
01-04-21,united,23
01-07-21,rights,23
01-08-21,relief,23
01-08-21,that’s,23
01-15-20,let’s,23
01-15-20,pay,23
01-15-20,stage,23
01-15-20,tax,23
02-17-21,school,23
02-20-20,question,23
02-22-20,campaign,23
02-22-21,businesses,23
02-23-21,care,23
03-03-20,that’s,23
03-03-20,we’re,23
04-07-20,unions,23
04-13-20,we’re,23
04-28-21,act,23
04-28-21,that’s,23
04-29-21,it’s,23
04-29-21,we’re,23
06-27-20,businesses,23
06-27-20,nation,23
06-27-20,pandemic,23
07-22-20,country,23
07-28-20,we’re,23
09-02-20,people,23
09-03-20,black,23
09-03-20,time,23
09-23-20,don’t,23
09-29-20,economy,23
09-30-20,pray,23
10-02-20,jobs,23
10-03-20,people,23
10-03-20,transit,23
10-15-20,lot,23
10-15-20,they’re,23
10-22-20,00,23
10-22-20,what’s,23
10-31-20,biden,23
11-18-20,president,23
11-24-20,people,23
12-02-20,i’m,23
12-02-20,they’re,23
12-08-20,it’s,23
12-09-20,austin,23
12-19-20,people,23
12-20-19,they’re,23
12-22-20,i’m,23
12-23-20,public,23
01-04-21,we’ve,22
01-07-21,civil,22
01-15-20,military,22
01-15-20,million,22
01-15-20,nuclear,22
01-27-21,we’re,22
02-20-20,policy,22
02-22-20,president,22
03-16-20,national,22
03-25-20,we’re,22
03-25-21,filibuster,22
03-31-21,people,22
03-31-21,we’re,22
04-09-20,crisis,22
04-09-20,lot,22
04-09-20,unemployment,22
04-28-21,let’s,22
04-28-21,president,22
05-07-20,american,22
06-02-20,nation,22
06-11-20,lot,22
06-27-20,00,22
06-27-20,biden,22
06-27-20,campaign,22
06-30-20,testing,22
07-09-20,american,22
07-14-20,american,22
07-21-20,care,22
07-22-20,pay,22
07-22-20,there’s,22
08-06-20,president,22
09-03-20,president,22
09-15-20,security,22
09-18-20,they’re,22
09-23-20,lot,22
09-23-20,you’re,22
09-29-20,court,22
09-29-20,left,22
09-29-20,talk,22
09-29-20,tax,22
09-29-20,time,22
09-30-20,people,22
10-08-20,people,22
10-09-19,he’s,22
10-15-20,vice,22
10-16-20,president,22
10-18-20,it’s,22
10-21-20,that’s,22
10-22-20,let’s,22
10-25-20,biden,22
10-31-20,he’s,22
10-31-20,they’re,22
10-31-20,trump,22
