word1,word2,weight
people,country,413
american,country,72
american,people,546
vice,country,23
vice,people,38
vice,work,27
president,people,307
president,work,102
work,people,369
american,work,62
work,today,58
today,people,123
will,time,165
going,crisis,125
day,crisis,24
american,going,150
american,crisis,30
american,day,19
cant,work,64
ive,today,14
covid,today,17
covid,health,29
help,health,29
help,plan,83
help,covid,16
plan,covid,17
will,health,108
care,american,19
going,states,117
americans,going,59
going,health,106
americans,well,17
well,work,123
day,good,24
day,work,84
good,work,81
good,country,51
work,country,116
will,country,241
ive,crisis,19
will,ive,30
ive,president,31
will,president,401
president,time,196
will,american,180
president,american,102
american,time,50
time,health,18
crisis,country,83
americans,crisis,24
americans,country,46
americans,united,2
united,work,25
president,today,78
well,nation,53
nation,america,59
nation,weve,53
cant,american,17
cant,people,161
americans,workers,13
ive,weve,10
president,good,95
americans,nation,17
will,well,182
will,work,214
years,work,34
better,good,36
good,weve,17
good,today,30
good,america,31
better,america,39
weve,america,31
today,america,44
better,weve,53
better,today,26
weve,today,27
nation,today,23
cant,today,32
nation,united,34
nation,states,30
president,weve,53
weve,trump,4
covid,crisis,38
nation,covid,11
nation,crisis,40
america,people,123
nation,people,145
will,people,471
will,nation,152
things,good,62
working,people,332
working,well,56
americans,year,21
americans,work,55
well,today,73
well,united,19
united,today,16
well,states,42
states,today,21
well,america,41
things,going,237
will,things,66
will,going,264
well,people,288
nation,year,16
health,crisis,133
will,jobs,195
better,crisis,50
crisis,america,30
plan,american,39
will,plan,208
will,better,125
better,plan,71
years,will,110
will,good,98
good,jobs,353
plan,good,34
plan,jobs,122
things,country,54
will,states,101
cant,well,65
covid,workers,20
care,covid,8
covid,work,27
will,workers,79
nation,health,28
plan,health,31
plan,nation,10
americans,plan,27
will,americans,73
american,year,18
will,crisis,66
will,america,112
vice,crisis,7
president,crisis,52
dont,america,38
help,year,16
well,year,46
well,help,79
work,workers,67
going,work,300
going,people,765
well,going,346
covid,people,73
cant,covid,17
people,workers,103
jobs,people,212
year,jobs,42
plan,workers,22
will,vice,57
help,work,44
will,help,188
help,jobs,56
time,going,298
well,country,81
working,work,53
plan,people,77
jobs,america,54
well,jobs,69
american,jobs,91
jobs,crisis,54
time,crisis,44
time,jobs,47
work,jobs,69
americans,good,10
americans,jobs,35
american,workers,122
better,nation,48
president,day,94
cant,nation,30
well,weve,47
vice,president,362
will,covid,44
help,biden,15
america,country,77
today,country,59
plan,time,33
americans,time,30
plan,things,21
states,weve,34
states,people,100
weve,country,96
working,country,131
working,states,25
states,country,59
health,weve,29
americans,things,10
dont,going,321
dont,people,429
time,people,245
well,health,52
plan,going,188
nation,dont,22
better,american,19
well,american,39
plan,well,45
better,well,68
well,day,37
things,day,41
cant,united,17
cant,states,21
cant,america,35
crisis,today,46
country,joe,23
things,covid,8
well,things,92
help,things,30
help,lot,38
lot,jobs,69
help,people,249
help,ive,6
ive,people,46
lot,country,64
lot,good,31
lot,people,356
lot,dont,126
good,people,159
dont,good,51
help,good,28
help,dont,42
going,country,288
year,day,30
working,ive,23
years,ive,48
years,working,27
lot,things,114
years,help,17
years,lot,44
lot,year,15
things,care,34
time,joe,19
biden,time,26
lot,today,16
biden,today,20
lot,biden,10
biden,day,14
biden,work,20
ive,work,25
years,joe,27
working,dont,22
dont,jobs,32
dont,weve,33
weve,jobs,11
years,weve,85
years,health,16
dont,health,49
lot,health,34
cant,dont,83
cant,health,20
help,going,204
health,jobs,46
cant,jobs,19
help,care,36
will,dont,97
well,dont,127
crisis,people,107
biden,people,28
time,today,59
time,workers,38
today,workers,23
american,today,29
covid,weve,15
well,workers,49
help,country,54
workers,country,81
lot,work,120
lot,time,92
care,people,177
going,today,95
lot,going,262
cant,lot,48
cant,going,145
health,people,159
health,workers,96
going,covid,42
health,work,46
weve,workers,28
will,lot,47
will,biden,79
biden,workers,5
working,time,56
care,going,119
will,year,152
year,going,120
year,work,18
care,time,30
well,covid,22
working,covid,12
working,lot,28
lot,covid,11
working,going,93
working,care,24
will,working,62
working,health,18
time,year,54
year,good,22
time,good,42
american,good,26
working,american,21
working,vice,7
working,president,25
things,united,13
things,states,24
going,good,167
lot,president,83
things,president,115
things,health,21
better,health,22
better,things,113
better,president,73
lot,well,90
going,jobs,237
going,weve,80
things,workers,14
help,workers,28
states,workers,26
americans,help,22
working,year,13
day,going,220
things,people,176
working,things,31
dont,covid,15
working,america,18
president,united,128
president,states,148
united,weve,17
going,america,82
americans,better,10
care,health,179
nation,country,52
nation,going,74
help,nation,20
plan,crisis,24
plan,year,34
better,year,11
president,year,61
plan,president,70
cant,biden,6
cant,plan,32
cant,day,23
work,america,48
working,jobs,47
dont,work,78
care,dont,60
american,dont,42
plan,dont,66
plan,care,41
better,going,116
cant,crisis,30
cant,help,38
american,health,33
will,today,95
help,today,25
americans,dont,34
americans,people,65
dont,country,60
time,states,30
cant,good,30
president,joe,51
