word1,word2,weight
people,country,826
country,american,144
people,american,1092
country,vice,46
people,vice,76
work,vice,54
president,people,614
work,president,204
work,people,738
work,american,124
today,work,116
today,people,246
will,time,330
going,crisis,250
crisis,day,48
going,american,300
american,crisis,60
american,day,38
work,cant,128
today,ive,28
today,covid,34
covid,health,58
help,health,58
help,plan,166
help,covid,32
plan,covid,34
will,health,216
going,states,234
going,americans,118
going,health,212
well,americans,34
work,well,246
good,day,48
work,day,168
good,work,163
good,country,102
work,country,232
will,country,482
crisis,ive,38
will,ive,60
president,ive,62
will,president,802
president,time,392
will,american,360
president,american,204
american,time,100
time,health,36
country,crisis,166
americans,crisis,48
country,americans,92
americans,united,4
work,united,50
thing,covid,22
today,president,156
well,nation,106
thing,americans,16
nation,america,118
nation,weve,106
american,cant,34
people,cant,322
workers,americans,26
weve,ive,20
good,president,190
americans,nation,34
will,well,365
will,work,428
years,work,68
good,better,72
good,weve,34
good,today,60
good,america,62
better,america,78
weve,america,62
today,america,88
better,weve,106
today,better,52
today,weve,54
today,nation,46
today,cant,64
nation,united,68
states,nation,60
thing,america,84
thing,weve,110
president,weve,106
trump,weve,8
covid,crisis,76
covid,nation,22
crisis,nation,80
people,america,246
people,nation,290
will,people,942
will,nation,304
good,things,124
people,working,664
well,working,112
year,americans,42
work,americans,110
today,well,146
well,united,38
today,united,32
well,states,84
today,states,42
well,america,82
things,going,474
will,things,132
will,going,528
well,people,576
year,nation,32
crisis,health,266
will,jobs,390
crisis,better,100
crisis,america,60
plan,american,78
will,plan,416
will,better,250
plan,better,142
will,years,220
will,good,200
good,jobs,706
good,plan,68
jobs,plan,244
things,country,108
will,states,202
well,cant,130
workers,covid,40
work,covid,54
will,workers,158
nation,health,56
plan,health,62
plan,nation,20
plan,americans,54
will,americans,146
year,american,36
will,crisis,132
will,america,224
crisis,vice,14
president,crisis,104
dont,america,76
help,year,32
well,year,92
help,well,158
work,workers,134
work,going,600
going,people,1530
well,going,692
people,covid,146
covid,cant,34
people,workers,206
jobs,people,424
jobs,year,84
plan,workers,44
will,vice,114
help,work,88
help,will,376
help,jobs,112
going,time,596
well,country,162
work,working,106
plan,people,154
jobs,america,108
jobs,well,138
jobs,american,182
jobs,crisis,108
crisis,time,88
jobs,time,94
jobs,work,138
good,americans,20
jobs,americans,70
workers,american,244
nation,better,96
president,day,188
nation,cant,62
well,weve,94
president,vice,724
will,covid,88
help,biden,30
country,america,154
today,country,118
plan,time,66
americans,time,61
things,plan,42
states,weve,68
people,states,200
country,weve,192
country,working,262
states,working,50
country,states,118
health,weve,58
things,americans,20
things,thing,44
going,dont,642
dont,people,858
people,time,490
well,health,104
plan,going,376
dont,nation,44
american,better,38
well,american,78
plan,well,90
well,better,136
well,day,74
things,day,82
cant,united,34
states,cant,42
cant,america,70
today,crisis,92
joe,country,46
things,covid,16
things,well,184
help,things,60
help,lot,76
jobs,lot,138
help,people,498
help,ive,12
people,ive,92
lot,country,128
good,lot,64
lot,people,712
dont,lot,252
good,people,319
good,dont,102
good,help,56
help,dont,84
going,country,576
year,day,58
working,ive,46
years,ive,96
years,working,54
things,lot,228
help,years,34
years,lot,88
year,lot,30
joe,time,39
time,biden,52
today,lot,32
today,biden,40
lot,biden,20
day,biden,28
work,biden,40
work,ive,50
years,joe,54
dont,working,44
jobs,dont,64
dont,weve,66
jobs,weve,22
years,weve,170
years,health,32
dont,health,98
lot,health,68
dont,cant,166
health,cant,40
help,going,408
jobs,health,92
jobs,cant,38
thing,dont,96
will,dont,194
well,dont,254
people,crisis,214
people,biden,56
today,time,118
workers,time,76
today,workers,47
today,american,58
covid,weve,30
well,workers,98
help,country,108
workers,country,162
work,lot,240
lot,time,184
today,going,192
going,lot,524
lot,cant,96
going,cant,290
people,health,318
workers,health,192
going,covid,84
work,health,92
