file,word,n
09-18-20,it’s,140
10-09-20,it’s,130
09-19-20,we’re,116
10-25-20,it’s,113
09-19-20,it’s,110
09-22-20,it’s,108
09-18-20,people,107
09-18-20,don’t,105
10-09-20,people,105
12-06-20,people,101
10-09-20,don’t,100
10-16-20,it’s,97
10-25-20,people,97
10-18-20,it’s,95
09-19-20,he’s,93
10-24-20,it’s,93
10-25-20,don’t,93
08-21-20,it’s,92
09-16-20,it’s,92
09-19-20,people,92
10-29-20,it’s,91
12-06-20,don’t,90
10-16-20,people,89
10-23-20,it’s,89
10-17-20,it’s,88
10-16-20,don’t,87
10-17-20,people,86
02-28-21,it’s,85
09-08-20,it’s,84
09-22-20,don’t,82
09-18-20,that’s,81
10-14-20,it’s,80
10-16-20,he’s,80
09-18-20,he’s,79
09-19-20,don’t,79
10-21-20,it’s,79
10-25-20,we’re,79
08-17-20,we’re,78
09-17-20,it’s,78
10-12-20,we’re,78
10-18-20,they’re,78
09-21-20,it’s,77
10-31-20,it’s,77
10-16-20,we’re,76
09-18-20,they’re,75
09-17-20,don’t,74
09-25-20,black,74
08-20-20,it’s,73
09-18-20,i’m,72
01-04-21,don’t,70
07-14-20,people,70
09-10-20,it’s,70
09-19-20,that’s,70
10-18-20,people,70
09-10-20,we’re,69
09-17-20,we’re,69
09-22-20,people,69
09-08-20,people,68
09-19-20,they’re,68
10-09-20,that’s,68
10-09-20,they’re,68
09-08-20,don’t,67
09-16-20,we’re,67
09-29-20,people,67
10-19-20,it’s,67
11-02-20,we’re,67
01-04-21,people,66
08-21-20,don’t,66
09-08-20,we’re,66
10-14-20,don’t,66
08-20-20,don’t,65
09-17-20,he’s,65
09-17-20,that’s,65
10-17-20,that’s,65
09-22-20,that’s,64
12-06-20,it’s,63
10-18-20,don’t,62
10-24-20,people,62
08-12-20,it’s,61
10-14-20,we’re,61
10-23-20,people,61
08-10-20,people,60
08-13-20,it’s,60
08-20-20,people,60
10-12-20,people,60
10-17-20,we’re,60
10-21-20,people,60
07-14-20,we’re,59
09-18-20,you’re,59
09-21-20,don’t,59
11-02-20,don’t,59
08-03-20,it’s,58
08-20-20,we’re,58
09-10-20,don’t,58
09-22-20,we’re,58
10-18-20,we’re,58
10-29-20,they’re,58
08-12-20,people,57
08-28-20,we’re,57
09-04-20,it’s,57
09-19-20,lot,57
10-23-20,don’t,57
10-29-20,don’t,57
11-02-20,it’s,57
08-10-20,it’s,56
09-21-20,we’re,56
10-29-20,we’re,56
12-02-20,ballots,56
12-06-20,we’re,56
08-10-20,we’re,55
08-28-20,people,55
09-16-20,people,55
09-22-20,they’re,55
09-30-20,it’s,55
09-30-20,we’re,55
10-13-20,don’t,55
10-13-20,people,55
10-15-20,people,55
10-16-20,that’s,55
10-20-20,it’s,54
07-14-20,china,53
09-10-20,michigan,53
10-14-20,people,53
10-17-20,don’t,53
10-22-20,it’s,53
10-29-20,people,53
12-02-20,election,53
02-28-21,people,52
08-12-20,we’re,52
08-20-20,that’s,52
08-21-20,that’s,52
09-16-20,they’re,52
09-18-20,guy,52
09-21-20,people,52
10-23-20,we’re,52
12-06-20,that’s,52
02-28-21,don’t,51
08-17-20,it’s,51
09-07-20,it’s,51
09-24-20,that’s,51
10-12-20,it’s,51
10-16-20,they’re,51
10-21-20,that’s,51
12-06-20,they’re,51
07-31-20,we’re,50
08-09-20,we’re,50
09-17-20,people,50
10-14-20,iowa,50
10-17-20,michigan,50
10-27-20,it’s,50
09-08-20,they’re,49
09-18-20,we’re,49
10-14-20,i’m,49
10-18-20,that’s,49
