word1,word2,weight
great,people,992
great,dont,256
dont,people,908
dont,time,191
time,thing,56
happened,time,88
happened,thing,113
election,country,124
cant,country,119
cant,election,50
election,people,89
cant,people,198
love,people,298
good,people,360
american,people,192
win,election,144
lot,ive,50
ive,states,15
big,election,43
big,going,358
job,states,21
years,american,38
american,history,106
big,history,12
happened,american,11
state,great,360
state,biden,18
big,people,143
ive,time,73
vote,election,69
lot,vote,45
vote,people,157
lot,things,356
lot,happened,54
lot,election,38
happened,things,76
things,election,24
happened,election,28
state,well,31
vote,weve,28
well,weve,86
well,election,49
things,ive,36
lot,time,158
things,time,48
time,people,151
ive,people,71
things,people,146
things,love,10
ive,love,21
will,going,462
state,election,19
dont,going,668
didnt,election,22
didnt,win,57
going,election,238
years,history,91
years,election,40
will,lot,102
will,people,414
states,election,41
dont,election,102
job,people,228
job,country,74
going,job,146
win,job,16
going,country,428
win,country,66
win,going,1125
will,win,180
states,country,38
going,states,108
win,states,51
will,states,131
will,election,108
lot,going,364
well,lot,172
cant,lot,43
cant,states,34
cant,america,7
cant,joe,19
country,joe,35
lot,people,979
well,people,263
well,didnt,93
well,things,90
didnt,things,48
didnt,people,212
things,dont,128
going,people,726
didnt,going,152
didnt,lot,100
dont,states,76
ive,dont,55
ive,going,44
ive,weve,7
year,weve,98
will,time,164
cant,going,150
things,thing,42
things,president,28
president,thing,58
dont,thing,192
president,dont,118
well,thing,95
will,great,371
great,going,682
cant,great,63
great,job,1319
great,ive,39
ive,job,17
lot,dont,268
dont,good,319
good,thing,262
great,good,435
great,thing,191
well,time,119
big,deal,168
big,dont,131
big,left,26
deal,dont,102
deal,left,16
dont,left,74
big,president,21
president,deal,9
president,left,16
lot,left,42
will,left,133
well,win,83
well,great,273
things,going,246
years,better,48
year,election,20
year,going,346
time,election,51
well,dont,306
president,going,153
great,weve,206
job,weve,203
great,history,107
history,job,26
great,year,63
years,going,404
going,weve,168
years,weve,202
big,year,31
big,will,75
great,lot,297
great,country,325
happened,country,26
president,vote,24
weve,election,62
dont,weve,112
going,vote,195
didnt,states,16
state,country,84
state,american,23
will,thing,108
state,cant,36
state,joe,10
president,joe,24
cant,biden,23
biden,president,35
cant,president,98
well,states,50
cant,vote,40
didnt,vote,48
left,people,109
didnt,left,33
vote,left,22
biden,vote,47
state,states,52
state,will,83
cant,thing,56
cant,happened,16
thing,country,90
china,people,54
years,states,35
states,people,62
president,weve,42
will,country,519
state,dont,76
state,win,169
win,dont,193
years,america,81
dont,america,48
america,people,67
american,dont,34
ive,president,28
people,country,493
things,good,133
president,people,91
president,states,32
thing,states,30
happened,people,83
happened,president,29
didnt,happened,28
year,vote,10
year,people,47
great,election,55
election,joe,9
well,joe,17
biden,election,22
well,biden,24
history,country,486
american,country,96
lot,president,38
president,american,14
weve,people,161
history,weve,69
dont,country,300
will,american,130
guy,things,14
cant,well,52
ive,thing,35
time,going,240
win,time,64
well,going,515
incredible,good,42
incredible,weve,128
good,weve,81
big,lot,89
years,cant,30
well,president,41
big,thing,153
lot,thing,92
state,lot,74
state,job,60
state,china,5
china,states,3
american,states,2
incredible,lot,42
incredible,states,10
lot,states,75
great,states,79
will,well,232
state,going,233
big,state,61
big,great,126
state,thing,27
well,happened,69
big,country,75
better,things,38
will,things,103
good,job,539
china,things,23
china,well,24
going,good,380
cant,dont,110
happened,dont,113
things,left,12
good,country,84
lot,country,75
years,well,98
years,time,214
lot,love,78
love,thing,18
lot,weve,166
incredible,time,38
time,job,48
incredible,people,381
incredible,job,215
will,job,77
big,well,96
big,win,124
years,win,132
great,win,127
years,great,149
biden,history,19
ive,history,7
ive,country,26
great,didnt,70
will,vote,138
will,year,236
year,history,138
will,history,224
year,country,102
history,joe,10
biden,country,78
dont,joe,80
china,happened,37
happened,biden,20
biden,time,36
china,time,14
american,time,17
years,will,260
years,biden,118
will,biden,162
years,china,51
will,china,146
things,biden,19
will,good,108
guy,good,140
win,america,28
years,joe,105
president,america,92
will,president,147
going,left,120
cant,left,27
better,going,223
better,dont,57
american,year,23
guy,country,32
guy,election,2
american,election,12
china,thing,28
will,joe,70
well,good,201
great,time,150
great,president,153
remember,china,12
people,joe,61
states,left,18
going,thing,228
will,weve,91
weve,country,127
china,country,75
cant,year,18
happened,joe,14
thing,joe,22
biden,thing,21
years,vote,70
vote,thing,36
great,vote,186
big,weve,57
win,weve,43
big,didnt,34
left,joe,48
guy,great,354
guy,job,62
state,good,62
guy,state,20
better,good,76
better,people,131
better,great,84
will,better,74
good,joe,38
better,joe,21
great,joe,34
time,good,155
guy,well,42
win,good,52
ive,good,31
great,left,42
left,thing,32
great,deal,194
will,deal,85
