word1,word2,weight
youre,election,80
people,dont,1816
time,dont,382
happened,time,176
election,country,248
election,people,178
people,love,596
youre,love,124
american,people,384
win,election,288
won,lot,340
ive,lot,100
ive,won,32
election,won,184
job,whats,26
happened,whats,326
american,history,212
million,history,60
american,whats,20
american,happened,22
whats,biden,42
people,theyre,1492
people,won,102
time,ive,146
election,vote,138
vote,lot,90
theyre,lot,354
coming,dont,134
dont,won,144
people,vote,314
vote,won,56
happened,lot,108
election,lot,76
election,happened,56
vote,weve,56
time,lot,316
people,time,302
people,ive,142
ive,love,42
ive,whats,20
people,whats,194
election,theyre,154
happen,election,72
theyre,won,62
theyre,dont,764
election,coming,48
didnt,election,44
win,didnt,114
happen,ive,32
happen,lot,68
vote,theyre,128
bad,lot,152
coming,bad,36
coming,lot,136
ago,lot,68
time,ago,330
election,dont,204
people,job,456
country,job,148
win,job,32
win,country,132
happen,america,12
happen,joe,36
joe,country,70
happen,country,188
hes,ive,42
people,lot,1958
didnt,people,424
didnt,lot,200
dont,whats,214
happen,dont,284
happen,whats,284
dont,ive,110
weve,ive,14
happen,im,46
im,whats,26
president,dont,236
job,ive,34
ive,bad,28
dont,lot,538
theyre,time,192
deal,dont,204
deal,left,32
dont,left,148
president,deal,18
president,left,32
lot,left,84
election,time,102
youre,theyre,150
youre,president,154
president,theyre,80
weve,job,406
history,job,52
world,country,592
happened,country,52
youre,bad,56
election,bad,18
happened,bad,68
time,bad,80
president,vote,54
election,weve,124
weve,dont,224
american,theyre,20
joe,president,48
president,biden,70
im,vote,74
didnt,vote,96
people,left,218
didnt,left,66
vote,left,44
vote,biden,94
youre,dont,424
china,people,108
president,weve,84
country,whats,104
win,theyre,150
win,won,236
win,dont,386
million,im,30
im,people,298
million,people,602
didnt,im,66
america,dont,96
people,america,134
american,dont,68
president,ive,56
people,country,986
people,president,182
happen,president,96
people,happened,166
happen,happened,76
president,happened,58
call,vote,28
call,people,188
didnt,happened,56
youre,won,44
youre,country,124
joe,election,18
election,biden,44
history,country,972
world,history,350
american,country,192
world,american,42
president,lot,76
american,president,28
people,weve,322
history,weve,138
country,dont,600
weve,theyre,142
win,time,128
incredible,weve,256
theyre,job,294
theyre,ive,30
world,theyre,120
million,theyre,94
incredible,lot,84
people,bad,412
dont,bad,306
theyre,bad,156
million,china,88
youre,people,384
im,country,106
hes,job,370
hes,im,84
im,job,74
happened,dont,226
country,lot,150
love,lot,156
im,lot,98
weve,lot,332
million,time,56
incredible,time,76
time,job,96
incredible,people,762
incredible,job,430
youre,job,302
youre,time,130
win,youre,254
bad,biden,46
history,biden,38
history,ive,14
country,ive,52
youre,lot,196
vote,jobs,232
joe,history,20
country,biden,156
dont,ago,120
joe,dont,160
joe,ago,28
ago,biden,36
china,happened,74
jobs,time,64
happened,biden,40
time,biden,72
jobs,biden,140
china,time,28
china,jobs,136
american,time,34
american,jobs,158
hes,biden,126
hes,bad,146
guy,bad,172
hes,guy,998
win,america,56
president,america,184
im,dont,333
hes,left,194
hes,country,102
country,guy,64
hes,election,36
election,guy,4
american,election,24
youre,biden,18
im,weve,34
incredible,im,58
incredible,ago,38
china,remember,24
joe,people,122
million,dont,144
im,happened,28
country,weve,254
china,country,150
im,president,130
country,coming,156
world,coming,52
happened,coming,32
joe,happened,28
vote,ago,52
youre,vote,78
youre,im,84
im,election,42
win,weve,86
theyre,ago,70
joe,left,96
job,guy,124
joe,youre,24
joe,theyre,56
im,time,110
guy,whats,24
win,im,86
theyre,coming,474
theyre,left,186
incredible,china,30
history,ago,50
country,ago,40
world,china,230
deal,time,44
deal,ago,36
deal,theyre,144
american,vote,106
world,america,152
country,love,586
history,love,144
vote,coming,40
bad,whats,56
world,won,82
america,won,30
history,america,74
incredible,america,64
jobs,coming,32
jobs,job,36
dont,love,334
dont,job,266
job,love,108
weve,time,172
china,weve,56
call,china,70
left,biden,132
ive,left,4
vote,dont,226
election,whats,44
didnt,bad,72
jobs,weve,180
dont,biden,136
hes,dont,472
world,lot,76
world,people,296
world,weve,184
time,coming,100
didnt,president,64
win,left,78
deal,country,84
deal,weve,28
coming,left,44
coming,job,40
im,theyre,82
didnt,dont,178
jobs,whats,18
american,ago,16
incredible,theyre,250
president,history,138
president,country,112
weve,ago,62
country,theyre,300
didnt,job,100
joe,jobs,74
joe,job,50
world,bad,44
didnt,deal,58
happened,job,40
didnt,country,124
call,whats,30
call,lot,82
people,biden,126
history,theyre,68
theyre,love,90
american,love,50
incredible,dont,168
happen,win,60
happen,biden,46
win,biden,66
hes,win,104
hes,people,296
theyre,biden,50
hes,didnt,144
didnt,ago,98
ago,left,124
call,time,104
call,dont,328
win,joe,18
win,people,180
people,ago,150
happen,china,62
happen,didnt,88
didnt,china,106
call,theyre,98
call,youre,58
youre,guy,110
guy,lot,80
guy,biden,50
didnt,biden,62
happen,left,50
time,won,192
remember,won,76
time,remember,118
didnt,won,80
call,won,8
call,didnt,96
time,guy,100
ive,guy,26
million,youre,60
million,coming,16
people,coming,202
million,jobs,496
win,lot,140
weve,won,44
incredible,left,12
incredible,happened,68
incredible,didnt,34
weve,biden,34
incredible,biden,16
jobs,dont,36
china,history,32
world,deal,38
deal,jobs,46
jobs,country,148
china,dont,74
joe,time,70
america,time,30
hes,china,34
remember,ive,10
joe,million,28
million,president,38
call,remember,30
hes,time,210
win,deal,56
deal,biden,50
million,biden,42
world,happened,60
million,world,58
joe,bad,42
weve,guy,6
incredible,guy,56
incredible,world,88
world,job,62
incredible,joe,14
joe,world,12
deal,whats,14
im,jobs,26
president,job,136
china,deal,82
hes,incredible,80
youre,china,16
lot,biden,42
incredible,ive,48
election,left,56
weve,left,32
incredible,youre,112
youre,happened,42
win,vote,140
election,remember,40
didnt,world,64
world,whats,46
world,dont,170
history,lot,26
people,history,74
love,whats,62
didnt,theyre,94
country,america,81
american,weve,38
history,time,96
country,time,134
happen,theyre,168
america,theyre,12
million,weve,196
million,american,58
election,america,20
america,coming,22
joe,didnt,82
win,china,54
incredible,whats,78
deal,job,16
deal,lot,64
world,remember,12
theyre,remember,68
remember,biden,30
time,left,108
hes,weve,36
didnt,coming,60
happened,theyre,116
deal,happened,60
world,ive,12
happened,remember,44
president,ago,62
call,incredible,28
hes,youre,120
happen,time,72
hes,president,196
vote,remember,41
people,deal,110
incredible,deal,42
coming,remember,36
president,time,106
theyre,whats,188
time,whats,52
hes,joe,82
happen,bad,58
million,deal,32
million,whats,16
happen,million,12
million,lot,92
remember,left,34
won,left,40
happen,youre,60
youre,whats,58
world,vote,16
vote,time,56
million,country,156
country,won,36
vote,bad,40
love,left,48
america,job,7
world,im,48
im,coming,50
world,love,46
incredible,love,102
american,job,26
million,job,94
weve,coming,50
call,coming,16
joe,love,16
love,biden,16
happen,love,28
happen,remember,14
win,love,56
win,incredible,36
whats,left,42
president,won,60
election,president,28
call,country,28
didnt,love,52
youre,ive,20
im,bad,30
coming,whats,54
joe,weve,16
call,deal,34
win,president,32
america,love,42
win,american,24
vote,whats,54
weve,whats,58
vote,history,32
happen,won,24
im,won,34
win,ive,16
joe,vote,84
im,history,24
history,dont,76
win,history,34
call,president,80
dont,guy,198
im,guy,74
people,guy,146
happen,people,180
youre,coming,64
win,coming,12
youre,weve,44
jobs,history,44
call,biden,44
remember,ago,98
remember,guy,90
joe,guy,46
joe,remember,32
remember,dont,158
hes,remember,80
happen,coming,12
happen,weve,36
call,ago,20
im,ago,24
incredible,country,152
incredible,million,40
hes,whats,50
didnt,whats,42
happen,deal,18
call,im,44
call,love,32
guy,love,94
im,love,92
world,guy,28
hes,world,60
china,whats,24
china,president,38
incredible,american,28
country,remember,54
people,remember,136
china,vote,8
vote,country,84
america,whats,16
jobs,theyre,58
president,love,54
job,biden,46
time,love,116
hes,love,120
happened,ago,84
call,win,76
joe,won,12
deal,won,22
china,won,2
american,deal,12
incredible,history,68
american,remember,18
election,job,12
america,lot,14
vote,america,78
happened,weve,52
didnt,time,160
president,bad,36
world,biden,32
job,bad,76
didnt,million,44
job,lot,116
china,bad,20
world,youre,30
coming,biden,12
china,coming,68
hes,history,30
world,ago,36
american,left,24
china,job,26
hes,vote,68
president,guy,58
hes,won,68
incredible,bad,32
love,bad,26
coming,ive,18
country,left,218
job,ago,32
million,ago,4
incredible,election,12
vote,happened,26
china,lot,56
china,theyre,48
jobs,remember,16
china,left,14
world,time,56
million,bad,24
million,america,16
america,left,12
china,love,6
china,election,18
election,love,20
youre,ago,42
ive,ago,18
incredible,won,8
election,history,184
election,ago,44
happen,job,20
incredible,president,36
world,president,16
joe,lot,30
youre,left,56
didnt,youre,64
won,love,32
hes,happened,64
im,left,28
american,bad,4
bad,left,64
happened,won,44
win,guy,28
youre,jobs,32
happened,ive,8
youre,deal,30
deal,coming,12
world,jobs,18
jobs,america,46
win,remember,42
hes,deal,54
hes,lot,140
election,ive,16
call,election,24
china,ago,14
million,remember,38
deal,ive,12
call,guy,40
win,ago,44
happened,love,20
call,joe,26
world,left,8
theyre,guy,72
hes,theyre,90
president,coming,12
job,left,16
happened,left,28
didnt,guy,92
won,biden,6
call,left,32
youre,american,10
youre,remember,50
remember,lot,72
hes,ago,60
happen,american,16
happened,guy,20
happen,guy,12
joe,ive,2
deal,bad,66
win,jobs,4
china,guy,18
deal,remember,22
coming,won,8
incredible,remember,22
didnt,remember,56
weve,love,35
jobs,happened,38
people,jobs,96
remember,bad,58
whats,lot,60
country,bad,116
jobs,lot,86
remember,love,32
ago,won,32
call,job,48
jobs,left,36
hes,million,42
hes,call,46
call,weve,42
million,won,20
million,election,20
history,won,10
million,happened,36
win,world,20
million,love,64
world,election,26
win,bad,32
history,left,20
history,guy,20
american,guy,16
deal,history,14
happen,vote,56
youre,america,6
million,guy,4
ago,love,16
history,coming,12
didnt,weve,36
call,bad,44
coming,love,8
incredible,coming,32
happen,call,20
deal,vote,16
hes,america,22
jobs,ive,24
youre,history,38
didnt,america,8
happened,america,8
history,whats,12
ago,guy,40
hes,coming,46
happen,incredible,12
happen,world,16
jobs,president,20
call,american,16
hes,happen,18
didnt,american,4
vote,job,28
vote,guy,40
hes,american,26
weve,bad,28
president,whats,14
weve,america,22
incredible,jobs,44
im,remember,18
ago,whats,34
win,whats,14
call,ive,10
didnt,ive,30
history,bad,12
didnt,history,26
im,deal,24
deal,love,38
deal,guy,12
win,happened,8
weve,remember,14
america,bad,6
america,guy,8
jobs,bad,16
america,remember,2
call,world,8
happen,ago,16
call,million,16
hes,jobs,26
china,biden,4
american,lot,24
won,whats,30
happened,history,20
million,vote,4
vote,love,32
coming,guy,8
win,million,24
job,won,28
jobs,ago,12
incredible,vote,40
deal,america,2
america,ago,8
election,deal,36
call,happened,16
jobs,love,8
american,coming,10
joe,coming,8
ago,bad,12
coming,ago,12
happen,history,8
call,history,20
joe,deal,14
president,remember,44
jobs,guy,4
vote,ive,6
guy,won,20
million,ive,2
call,america,8
million,left,4
didnt,jobs,12
joe,whats,16
jobs,election,12
bad,won,20
remember,whats,18
remember,job,12
history,remember,14
guy,left,12
joe,biden,2
joe,american,2
